valuation_date,source,source_symbol,canonical_id,asset_class,quote_type,raw_value,conversion,factor,shift,currency,unit,entity_id,tenor,sector,region,rating,seniority,contributors
2026-07-20,DEMO_SYNTHETIC,DEMO_001-1Y,CR.CDS.DEMO_001.1Y,CREDIT,SPREAD,37.137994,bps_to_decimal,1,0,USD,DECIMAL,DEMO_001,1Y,FINANCIALS,NORTH_AMERICA,A,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_001-3Y,CR.CDS.DEMO_001.3Y,CREDIT,SPREAD,53.643769,bps_to_decimal,1,0,USD,DECIMAL,DEMO_001,3Y,FINANCIALS,NORTH_AMERICA,A,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_001-5Y,CR.CDS.DEMO_001.5Y,CREDIT,SPREAD,74.275987,bps_to_decimal,1,0,USD,DECIMAL,DEMO_001,5Y,FINANCIALS,NORTH_AMERICA,A,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_001-7Y,CR.CDS.DEMO_001.7Y,CREDIT,SPREAD,94.908206,bps_to_decimal,1,0,USD,DECIMAL,DEMO_001,7Y,FINANCIALS,NORTH_AMERICA,A,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_001-10Y,CR.CDS.DEMO_001.10Y,CREDIT,SPREAD,115.540425,bps_to_decimal,1,0,USD,DECIMAL,DEMO_001,10Y,FINANCIALS,NORTH_AMERICA,A,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_002-1Y,CR.CDS.DEMO_002.1Y,CREDIT,SPREAD,63.787500,bps_to_decimal,1,0,USD,DECIMAL,DEMO_002,1Y,FINANCIALS,EUROPE,BBB,SENIOR,5
2026-07-20,DEMO_SYNTHETIC,DEMO_002-3Y,CR.CDS.DEMO_002.3Y,CREDIT,SPREAD,92.137500,bps_to_decimal,1,0,USD,DECIMAL,DEMO_002,3Y,FINANCIALS,EUROPE,BBB,SENIOR,5
2026-07-20,DEMO_SYNTHETIC,DEMO_002-5Y,CR.CDS.DEMO_002.5Y,CREDIT,SPREAD,127.575000,bps_to_decimal,1,0,USD,DECIMAL,DEMO_002,5Y,FINANCIALS,EUROPE,BBB,SENIOR,5
2026-07-20,DEMO_SYNTHETIC,DEMO_002-7Y,CR.CDS.DEMO_002.7Y,CREDIT,SPREAD,163.012500,bps_to_decimal,1,0,USD,DECIMAL,DEMO_002,7Y,FINANCIALS,EUROPE,BBB,SENIOR,5
2026-07-20,DEMO_SYNTHETIC,DEMO_002-10Y,CR.CDS.DEMO_002.10Y,CREDIT,SPREAD,198.450000,bps_to_decimal,1,0,USD,DECIMAL,DEMO_002,10Y,FINANCIALS,EUROPE,BBB,SENIOR,5
2026-07-20,DEMO_SYNTHETIC,DEMO_003-1Y,CR.CDS.DEMO_003.1Y,CREDIT,SPREAD,151.859813,bps_to_decimal,1,0,USD,DECIMAL,DEMO_003,1Y,FINANCIALS,ASIA,BB,SUBORDINATED,6
2026-07-20,DEMO_SYNTHETIC,DEMO_003-3Y,CR.CDS.DEMO_003.3Y,CREDIT,SPREAD,219.353063,bps_to_decimal,1,0,USD,DECIMAL,DEMO_003,3Y,FINANCIALS,ASIA,BB,SUBORDINATED,6
2026-07-20,DEMO_SYNTHETIC,DEMO_003-5Y,CR.CDS.DEMO_003.5Y,CREDIT,SPREAD,303.719625,bps_to_decimal,1,0,USD,DECIMAL,DEMO_003,5Y,FINANCIALS,ASIA,BB,SUBORDINATED,6
2026-07-20,DEMO_SYNTHETIC,DEMO_003-7Y,CR.CDS.DEMO_003.7Y,CREDIT,SPREAD,388.086188,bps_to_decimal,1,0,USD,DECIMAL,DEMO_003,7Y,FINANCIALS,ASIA,BB,SUBORDINATED,6
2026-07-20,DEMO_SYNTHETIC,DEMO_003-10Y,CR.CDS.DEMO_003.10Y,CREDIT,SPREAD,472.452750,bps_to_decimal,1,0,USD,DECIMAL,DEMO_003,10Y,FINANCIALS,ASIA,BB,SUBORDINATED,6
2026-07-20,DEMO_SYNTHETIC,DEMO_004-1Y,CR.CDS.DEMO_004.1Y,CREDIT,SPREAD,51.780938,bps_to_decimal,1,0,USD,DECIMAL,DEMO_004,1Y,INDUSTRIALS,NORTH_AMERICA,BBB,SUBORDINATED,7
2026-07-20,DEMO_SYNTHETIC,DEMO_004-3Y,CR.CDS.DEMO_004.3Y,CREDIT,SPREAD,74.794687,bps_to_decimal,1,0,USD,DECIMAL,DEMO_004,3Y,INDUSTRIALS,NORTH_AMERICA,BBB,SUBORDINATED,7
2026-07-20,DEMO_SYNTHETIC,DEMO_004-5Y,CR.CDS.DEMO_004.5Y,CREDIT,SPREAD,103.561875,bps_to_decimal,1,0,USD,DECIMAL,DEMO_004,5Y,INDUSTRIALS,NORTH_AMERICA,BBB,SUBORDINATED,7
2026-07-20,DEMO_SYNTHETIC,DEMO_004-7Y,CR.CDS.DEMO_004.7Y,CREDIT,SPREAD,132.329062,bps_to_decimal,1,0,USD,DECIMAL,DEMO_004,7Y,INDUSTRIALS,NORTH_AMERICA,BBB,SUBORDINATED,7
2026-07-20,DEMO_SYNTHETIC,DEMO_004-10Y,CR.CDS.DEMO_004.10Y,CREDIT,SPREAD,161.096250,bps_to_decimal,1,0,USD,DECIMAL,DEMO_004,10Y,INDUSTRIALS,NORTH_AMERICA,BBB,SUBORDINATED,7
2026-07-20,DEMO_SYNTHETIC,DEMO_005-1Y,CR.CDS.DEMO_005.1Y,CREDIT,SPREAD,79.181550,bps_to_decimal,1,0,USD,DECIMAL,DEMO_005,1Y,INDUSTRIALS,EUROPE,BB,SENIOR,8
2026-07-20,DEMO_SYNTHETIC,DEMO_005-3Y,CR.CDS.DEMO_005.3Y,CREDIT,SPREAD,114.373350,bps_to_decimal,1,0,USD,DECIMAL,DEMO_005,3Y,INDUSTRIALS,EUROPE,BB,SENIOR,8
2026-07-20,DEMO_SYNTHETIC,DEMO_005-5Y,CR.CDS.DEMO_005.5Y,CREDIT,SPREAD,158.363100,bps_to_decimal,1,0,USD,DECIMAL,DEMO_005,5Y,INDUSTRIALS,EUROPE,BB,SENIOR,8
2026-07-20,DEMO_SYNTHETIC,DEMO_005-7Y,CR.CDS.DEMO_005.7Y,CREDIT,SPREAD,202.352850,bps_to_decimal,1,0,USD,DECIMAL,DEMO_005,7Y,INDUSTRIALS,EUROPE,BB,SENIOR,8
2026-07-20,DEMO_SYNTHETIC,DEMO_005-10Y,CR.CDS.DEMO_005.10Y,CREDIT,SPREAD,246.342600,bps_to_decimal,1,0,USD,DECIMAL,DEMO_005,10Y,INDUSTRIALS,EUROPE,BB,SENIOR,8
2026-07-20,DEMO_SYNTHETIC,DEMO_006-1Y,CR.CDS.DEMO_006.1Y,CREDIT,SPREAD,30.260588,bps_to_decimal,1,0,USD,DECIMAL,DEMO_006,1Y,INDUSTRIALS,ASIA,A,SENIOR,3
2026-07-20,DEMO_SYNTHETIC,DEMO_006-3Y,CR.CDS.DEMO_006.3Y,CREDIT,SPREAD,43.709738,bps_to_decimal,1,0,USD,DECIMAL,DEMO_006,3Y,INDUSTRIALS,ASIA,A,SENIOR,3
2026-07-20,DEMO_SYNTHETIC,DEMO_006-5Y,CR.CDS.DEMO_006.5Y,CREDIT,SPREAD,60.521175,bps_to_decimal,1,0,USD,DECIMAL,DEMO_006,5Y,INDUSTRIALS,ASIA,A,SENIOR,3
2026-07-20,DEMO_SYNTHETIC,DEMO_006-7Y,CR.CDS.DEMO_006.7Y,CREDIT,SPREAD,77.332613,bps_to_decimal,1,0,USD,DECIMAL,DEMO_006,7Y,INDUSTRIALS,ASIA,A,SENIOR,3
2026-07-20,DEMO_SYNTHETIC,DEMO_006-10Y,CR.CDS.DEMO_006.10Y,CREDIT,SPREAD,94.144050,bps_to_decimal,1,0,USD,DECIMAL,DEMO_006,10Y,INDUSTRIALS,ASIA,A,SENIOR,3
2026-07-20,DEMO_SYNTHETIC,DEMO_007-1Y,CR.CDS.DEMO_007.1Y,CREDIT,SPREAD,88.492500,bps_to_decimal,1,0,USD,DECIMAL,DEMO_007,1Y,ENERGY,NORTH_AMERICA,BB,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_007-3Y,CR.CDS.DEMO_007.3Y,CREDIT,SPREAD,127.822500,bps_to_decimal,1,0,USD,DECIMAL,DEMO_007,3Y,ENERGY,NORTH_AMERICA,BB,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_007-5Y,CR.CDS.DEMO_007.5Y,CREDIT,SPREAD,176.985000,bps_to_decimal,1,0,USD,DECIMAL,DEMO_007,5Y,ENERGY,NORTH_AMERICA,BB,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_007-7Y,CR.CDS.DEMO_007.7Y,CREDIT,SPREAD,226.147500,bps_to_decimal,1,0,USD,DECIMAL,DEMO_007,7Y,ENERGY,NORTH_AMERICA,BB,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_007-10Y,CR.CDS.DEMO_007.10Y,CREDIT,SPREAD,275.310000,bps_to_decimal,1,0,USD,DECIMAL,DEMO_007,10Y,ENERGY,NORTH_AMERICA,BB,SENIOR,4
2026-07-20,DEMO_SYNTHETIC,DEMO_008-1Y,CR.CDS.DEMO_008.1Y,CREDIT,SPREAD,44.590711,bps_to_decimal,1,0,USD,DECIMAL,DEMO_008,1Y,ENERGY,EUROPE,A,SUBORDINATED,5
2026-07-20,DEMO_SYNTHETIC,DEMO_008-3Y,CR.CDS.DEMO_008.3Y,CREDIT,SPREAD,64.408805,bps_to_decimal,1,0,USD,DECIMAL,DEMO_008,3Y,ENERGY,EUROPE,A,SUBORDINATED,5
2026-07-20,DEMO_SYNTHETIC,DEMO_008-5Y,CR.CDS.DEMO_008.5Y,CREDIT,SPREAD,89.181422,bps_to_decimal,1,0,USD,DECIMAL,DEMO_008,5Y,ENERGY,EUROPE,A,SUBORDINATED,5
2026-07-20,DEMO_SYNTHETIC,DEMO_008-7Y,CR.CDS.DEMO_008.7Y,CREDIT,SPREAD,113.954039,bps_to_decimal,1,0,USD,DECIMAL,DEMO_008,7Y,ENERGY,EUROPE,A,SUBORDINATED,5
2026-07-20,DEMO_SYNTHETIC,DEMO_008-10Y,CR.CDS.DEMO_008.10Y,CREDIT,SPREAD,138.726656,bps_to_decimal,1,0,USD,DECIMAL,DEMO_008,10Y,ENERGY,EUROPE,A,SUBORDINATED,5
2026-07-20,DEMO_SYNTHETIC,DEMO_009-1Y,CR.CDS.DEMO_009.1Y,CREDIT,SPREAD,58.063500,bps_to_decimal,1,0,USD,DECIMAL,DEMO_009,1Y,ENERGY,ASIA,BBB,SENIOR,6
2026-07-20,DEMO_SYNTHETIC,DEMO_009-3Y,CR.CDS.DEMO_009.3Y,CREDIT,SPREAD,83.869500,bps_to_decimal,1,0,USD,DECIMAL,DEMO_009,3Y,ENERGY,ASIA,BBB,SENIOR,6
2026-07-20,DEMO_SYNTHETIC,DEMO_009-5Y,CR.CDS.DEMO_009.5Y,CREDIT,SPREAD,116.127000,bps_to_decimal,1,0,USD,DECIMAL,DEMO_009,5Y,ENERGY,ASIA,BBB,SENIOR,6
2026-07-20,DEMO_SYNTHETIC,DEMO_009-7Y,CR.CDS.DEMO_009.7Y,CREDIT,SPREAD,148.384500,bps_to_decimal,1,0,USD,DECIMAL,DEMO_009,7Y,ENERGY,ASIA,BBB,SENIOR,6
2026-07-20,DEMO_SYNTHETIC,DEMO_009-10Y,CR.CDS.DEMO_009.10Y,CREDIT,SPREAD,180.642000,bps_to_decimal,1,0,USD,DECIMAL,DEMO_009,10Y,ENERGY,ASIA,BBB,SENIOR,6
2026-07-20,DEMO_SYNTHETIC,DEMO_010-1Y,CR.CDS.DEMO_010.1Y,CREDIT,SPREAD,127.256062,bps_to_decimal,1,0,USD,DECIMAL,DEMO_010,1Y,FINANCIALS,NORTH_AMERICA,BB,SUBORDINATED,7
